"playerID.1","playerID.2","playerID.3","Total_Salary","Total_AB","Total_OBP"
"aurilri01","stewash01","suzukic01",11100000,1968,1.12133622628858
"stewash01","suzukic01","vinafe01",12183333,1963,1.10915456010994
"aurilri01","suzukic01","vinafe01",13250000,1959,1.1068990529132
"boonebr01","stewash01","suzukic01",11100000,1955,1.12479433528818
"aurilri01","boonebr01","suzukic01",12166667,1951,1.12253882809144
"beltrca01","stewash01","suzukic01",8275000,1949,1.11482905788366
"pierrju01","stewash01","suzukic01",8065000,1949,1.13070794422623
"boonebr01","suzukic01","vinafe01",13250000,1946,1.1103571619128
"aurilri01","beltrca01","suzukic01",9341667,1945,1.11257355068692
"aurilri01","pierrju01","suzukic01",9131667,1945,1.1284524370295
"gonzalu01","stewash01","suzukic01",12683333,1941,1.18110299013698
"beltrca01","suzukic01","vinafe01",10425000,1940,1.10039188450829
"pierrju01","suzukic01","vinafe01",10215000,1940,1.11627077085086
"kentje01","stewash01","suzukic01",13850000,1939,1.12178443512877
"aurilri01","gonzalu01","suzukic01",13750000,1937,1.17884748294024
"aurilri01","kentje01","suzukic01",14916667,1935,1.11952892793203
"bagweje01","stewash01","suzukic01",14350000,1932,1.1500211013145
"beltrca01","boonebr01","suzukic01",9341667,1932,1.11603165968652
"boonebr01","pierrju01","suzukic01",9131667,1932,1.13191054602909
"gonzalu01","suzukic01","vinafe01",14833333,1932,1.1666658167616
"guerrvl01","stewash01","suzukic01",13850000,1931,1.12958074189342
"aurilri01","guerrvl01","suzukic01",14916667,1927,1.12732523469668
"beltrca01","biggicr01","suzukic01",13841667,1926,1.12591672417868
"beltrca01","pierrju01","suzukic01",6306667,1926,1.12194526862458
"biggicr01","pierrju01","suzukic01",13631667,1926,1.14179561052125
"ordonma01","stewash01","suzukic01",11600000,1925,1.13405168079058
"boonebr01","gonzalu01","suzukic01",13750000,1924,1.18230559193983
"boonebr01","kentje01","suzukic01",14916667,1922,1.12298703693162
"pujolal01","stewash01","suzukic01",8050000,1922,1.15549452452851
"aurilri01","ordonma01","suzukic01",12666667,1921,1.13179617359385
"abreubo01","stewash01","suzukic01",12833000,1920,1.14599747065646
"glaustr01","stewash01","suzukic01",9100000,1920,1.11976319998363
"heltoto01","stewash01","suzukic01",12800000,1919,1.18418623782454
"aurilri01","pujolal01","suzukic01",9116667,1918,1.15323901733177
"beltrca01","gonzalu01","suzukic01",10925000,1918,1.17234031453532
"gonzalu01","pierrju01","suzukic01",10715000,1918,1.18821920087789
"abreubo01","aurilri01","suzukic01",13899667,1916,1.14374196345972
"aurilri01","glaustr01","suzukic01",10166667,1916,1.11750769278689
"beltrca01","kentje01","suzukic01",12091667,1916,1.11302175952711
"kentje01","pierrju01","suzukic01",11881667,1916,1.12890064586968
"ordonma01","suzukic01","vinafe01",13750000,1916,1.11961450741521
"aurilri01","heltoto01","suzukic01",13866667,1915,1.1819307306278
"boonebr01","guerrvl01","suzukic01",14916667,1914,1.13078334369627
"eckstda01","stewash01","suzukic01",8050000,1914,1.10746983317049
"pujolal01","suzukic01","vinafe01",10200000,1913,1.14105735115314
"abreubo01","suzukic01","vinafe01",14983000,1911,1.13156029728108
"glaustr01","suzukic01","vinafe01",11250000,1911,1.10532602660825
"aurilri01","eckstda01","suzukic01",9116667,1910,1.10521432597375
"heltoto01","suzukic01","vinafe01",14950000,1910,1.16974906444917
"bagweje01","beltrca01","suzukic01",12591667,1909,1.14125842571285
"bagweje01","pierrju01","suzukic01",12381667,1909,1.15713731205542
"berkmla01","stewash01","suzukic01",8155000,1909,1.18276411970508
"palmera01","pierrju01","suzukic01",14881667,1909,1.14060015325885
"beltrca01","guerrvl01","suzukic01",12091667,1908,1.12081806629176
"boonebr01","ordonma01","suzukic01",12666667,1908,1.13525428259344
"guerrvl01","pierrju01","suzukic01",11881667,1908,1.13669695263433
"aurilri01","stewash01","vinafe01",9766666,1907,1.0964878351872
"aurilri01","berkmla01","suzukic01",9221667,1905,1.18050861250834
"boonebr01","pujolal01","suzukic01",9116667,1905,1.15669712633137
"eckstda01","suzukic01","vinafe01",10200000,1905,1.09303265979511
"olerujo01","stewash01","suzukic01",14550000,1904,1.1537115025685
